"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01036","VALROMEY SUR SERAN","01260","VALROMEY SUR SERAN","VIEU","45.923622510078644,5.662563514315961","45.923622510078644","5.662563514315961"
"01037","BENONCES","01470","BENONCES",,"45.84204476299634,5.483438052165611","45.84204476299634","5.483438052165611"
"01038","BENY","01370","BENY",,"46.31889472635856,5.278891690146262","46.31889472635856","5.278891690146262"
"01040","BEREZIAT","01340","BEREZIAT",,"46.36985857756058,5.043100758734848","46.36985857756058","5.043100758734848"
"01041","BETTANT","01500","BETTANT",,"45.93663684958709,5.364770452737035","45.93663684958709","5.364770452737035"
"01042","BEY","01290","BEY",,"46.218174129099765,4.844020591070661","46.218174129099765","4.844020591070661"
"01043","BEYNOST","01700","BEYNOST",,"45.83594448712938,4.996379391863267","45.83594448712938","4.996379391863267"
"01044","BILLIAT","01200","BILLIAT",,"46.077837775828684,5.763208254702935","46.077837775828684","5.763208254702935"
"01045","BIRIEUX","01330","BIRIEUX",,"45.950909022357635,5.040067352350348","45.950909022357635","5.040067352350348"
"01046","BIZIAT","01290","BIZIAT",,"46.22402754017341,4.939294472322583","46.22402754017341","4.939294472322583"
"01047","BLYES","01150","BLYES",,"45.84415298662191,5.251480324207212","45.84415298662191","5.251480324207212"
"01049","LA BOISSE","01120","LA BOISSE",,"45.848272504053085,5.026246891574977","45.848272504053085","5.026246891574977"
"01050","BOISSEY","01190","BOISSEY",,"46.37233662152506,4.997496840502068","46.37233662152506","4.997496840502068"
"01050","BOISSEY","01380","BOISSEY",,"46.37233662152506,4.997496840502068","46.37233662152506","4.997496840502068"
"01051","BOLOZON","01450","BOLOZON",,"46.19712290469505,5.470152307320847","46.19712290469505","5.470152307320847"
"01052","BOULIGNEUX","01330","BOULIGNEUX",,"46.02023856172837,4.995687580189966","46.02023856172837","4.995687580189966"
"01053","BOURG EN BRESSE","01000","BOURG EN BRESSE",,"46.202711533144964,5.246911351896918","46.202711533144964","5.246911351896918"
"01053","BOURG EN BRESSE","01000","BOURG EN BRESSE","BROU","46.202711533144964,5.246911351896918","46.202711533144964","5.246911351896918"
"01054","BOURG ST CHRISTOPHE","01800","BOURG ST CHRISTOPHE",,"45.884208139360354,5.139325617186907","45.884208139360354","5.139325617186907"
"01054","BOURG ST CHRISTOPHE","01800","BOURG ST CHRISTOPHE","MARFOZ","45.884208139360354,5.139325617186907","45.884208139360354","5.139325617186907"
"01056","BOYEUX ST JEROME","01640","BOYEUX ST JEROME",,"46.03564044403632,5.461609043990349","46.03564044403632","5.461609043990349"
"01057","BOZ","01190","BOZ",,"46.4088750124662,4.916592747993724","46.4088750124662","4.916592747993724"
"01058","BREGNIER CORDON","01300","BREGNIER CORDON",,"45.64057625958402,5.617366848714953","45.64057625958402","5.617366848714953"
"01060","BRENOD","01110","BRENOD",,"46.079096635982665,5.611630547079834","46.079096635982665","5.611630547079834"
"01061","BRENS","01300","BRENS",,"45.71627521009695,5.6899967433191065","45.71627521009695","5.6899967433191065"
"01062","BRESSOLLES","01360","BRESSOLLES",,"45.871358762314586,5.098447293903066","45.871358762314586","5.098447293903066"
"01062","BRESSOLLES","01360","BRESSOLLES","LA LECHERE","45.871358762314586,5.098447293903066","45.871358762314586","5.098447293903066"
"01063","BRION","01460","BRION",,"46.16890877616373,5.547676246343125","46.16890877616373","5.547676246343125"
"01064","BRIORD","01470","BRIORD",,"45.76801922759245,5.483159738029499","45.76801922759245","5.483159738029499"
"01065","BUELLAS","01310","BUELLAS",,"46.21164049611316,5.146774210836038","46.21164049611316","5.146774210836038"
"01065","BUELLAS","01310","BUELLAS","CORGENON","46.21164049611316,5.146774210836038","46.21164049611316","5.146774210836038"
