Libellé du site,Caractéristique du site,Adresse,Complément d'adresse,Lieu dit,Code Postal,Localité,Code INSEE de la commune,Pays
MANOSQUE,BUREAU CENTRE,RUE DE LA REINE JEANNE,,0,04100,MANOSQUE,04112,FRANCE
MONTAGNAC MONTPEZAT AP,AGENCE POSTALE,PLACE DE L HORLOGE,,MONTPEZAT,04500,MONTAGNAC MONTPEZAT,04124,FRANCE
MOUSTIERS SAINTE MARIE BP,BUREAU DE POSTE,RUE DU SEIGNEUR DE LA CLUE,CENTRE ADMINISTRATIF,0,04360,MOUSTIERS STE MARIE,04135,FRANCE
PIERREVERT BP,BUREAU DE POSTE,9 COURS DE LA LIBERATION,,0,04860,PIERREVERT,04152,FRANCE
PUIMOISSON AP,AGENCE POSTALE,PLACE SAINT ELOI,,0,04410,PUIMOISSON,04157,FRANCE
QUINSON AP,AGENCE POSTALE,RUE ST ESPRIT,,CHAPELLE ST ESPRIT,04500,QUINSON,04158,FRANCE
RIEZ BP,BUREAU DE POSTE,ALLEES LOUIS GARDIOL,,0,04500,RIEZ,04166,FRANCE
ROUMOULES AP,AGENCE POSTALE,36 RUE GRANDE,,0,04500,ROUMOULES,04172,FRANCE
SAINT MARTIN DE BROMES AP,AGENCE POSTALE,PLACE DE LA LIBERATION,,0,04800,ST MARTIN DE BROMES,04189,FRANCE
SAINTE TULLE BP,BUREAU DE POSTE,ESPLANADE MAX TROUCHE,,0,04220,STE TULLE,04197,FRANCE
VALENSOLE BP,BUREAU DE POSTE,1 LE PRE DE FOIRE,,0,04210,VALENSOLE,04230,FRANCE
ALLOS BP,BUREAU DE POSTE,LE PRE DE FOIRE,,0,04260,ALLOS,04006,FRANCE
ANNOT BP,BUREAU DE POSTE,135 BOULEVARD SAINT PIERRE,,0,04240,ANNOT,04008,FRANCE
BARREME BP,BUREAU DE POSTE,RUE PRINCIPALE,,0,04330,BARREME,04022,FRANCE
BEAUVEZER AP,AGENCE POSTALE,PLACE CAPITAINE JEAN LOUIS,,0,04370,BEAUVEZER,04025,FRANCE
CASTELLANE BP,BUREAU DE POSTE,PLACE MARCEL SAUVAIRE,,0,04120,CASTELLANE,04039,FRANCE
COLMARS LES ALPES BP,BUREAU DE POSTE,PLACE JOSEPH GIRIEUD,,0,04370,COLMARS LES ALPES,04061,FRANCE
ENTREVAUX BP,BUREAU DE POSTE,PLACE LOUIS MOREAU,,0,04320,ENTREVAUX,04076,FRANCE
MORIEZ AP,AGENCE POSTALE,3  COUR DU CHATEAU,,0,04170,MORIEZ,04133,FRANCE
LA PALUD SUR VERDON BP,BUREAU DE POSTE,PLACE DE L EGLISE,,0,04120,LA PALUD SUR VERDON,04144,FRANCE
LA FOUX D ALLOS AP,AGENCE POSTALE,110 PLACE ERNEST GARCIN,OFFICE DU TOURISME,0,04260,ALLOS,04006,FRANCE
ROUGON AP,AGENCE POSTALE,LE VILLAGE,,0,04120,ROUGON,04171,FRANCE
SAINT ANDRE LES ALPES,BUREAU CENTRE,3 PLACE DE VERDUN,,0,04170,ST ANDRE LES ALPES,04173,FRANCE
THORAME BASSE AP,AGENCE POSTALE,PLACE DU VILLAGE,C D N 2,0,04170,THORAME BASSE,04218,FRANCE
THORAME HAUTE AP,AGENCE POSTALE,THORAME HAUTE VILLAGE,MAIRIE,0,04170,THORAME HAUTE,04219,FRANCE
VILLARS COLMARS AP,AGENCE POSTALE,QUARTIER VIERARON,,0,04370,VILLARS COLMARS,04240,FRANCE
BAYONS AP,AGENCE POSTALE,LE VILLAGE,MAIRIE,0,04250,BAYONS,04023,FRANCE
CHATEAU ARNOUX BP,BUREAU DE POSTE,CHEMIN DU LAC,,0,04160,CHATEAU ARNOUX ST AUBAN,04049,FRANCE
CLAMENSANE AP,AGENCE POSTALE,Place de la Mairie,,0,04250,CLAMENSANE,04057,FRANCE
L ESCALE AP,AGENCE POSTALE,RUE DU PROFESSEUR ARNAUD,,0,04160,L ESCALE,04079,FRANCE
MALIJAI BP,BUREAU DE POSTE,13 PLACE DE LA REPUBLIQUE,,0,04350,MALIJAI,04108,FRANCE
LES MEES BP,BUREAU DE POSTE,RUE DE L ANCIEN HOPITAL,,0,04190,LES MEES,04116,FRANCE
MISON AP,AGENCE POSTALE,PLACE ERNEST ESCLANGON,,0,04200,MISON,04123,FRANCE
SAINT VINCENT AP,AGENCE POSTALE,LA PLACE DU VILLAGE,,0,04200,ST VINCENT SUR JABRON,04199,FRANCE
LA MOTTE DU CAIRE BP,BUREAU DE POSTE,TRAVERSE PIED DE VILLE,,0,04250,LA MOTTE DU CAIRE,04134,FRANCE
NOYERS SUR JABRON AP,AGENCE POSTALE,780 RUE PRINCIPALE,LA MAIRIE  LE VILLAGE,0,04200,NOYERS SUR JABRON,04139,FRANCE
PEYRUIS BP,BUREAU DE POSTE,LE VILLAGE,,0,04310,PEYRUIS,04149,FRANCE
PEIPIN AP,AGENCE POSTALE,PLACE DE LA MAIRIE,LE VILLAGE,0,04200,PEIPIN,04145,FRANCE
CHATEAU ARNOUX SAINT AUBAN LPAC AP,AGENCE POSTALE,2 PLACE PECHINEY,,ST AUBAN,04600,CHATEAU ARNOUX ST AUBAN,04049,FRANCE
SISTERON,BUREAU CENTRE,11 AVENUE PAUL ARENE,,0,04202,SISTERON CEDEX,04209,FRANCE
TURRIERS AP,AGENCE POSTALE,PLACE FRANCO,,0,04250,TURRIERS,04222,FRANCE
VOLONNE BP,BUREAU DE POSTE,5 PLACE CHARLES DE GAULLE,,0,04290,VOLONNE,04244,FRANCE
ABRIES AP,AGENCE POSTALE,LE VILLAGE,,0,05460,ABRIES,05001,FRANCE
AIGUILLES AP,AGENCE POSTALE,LE BOURG,,0,05470,AIGUILLES,05003,FRANCE
ARVIEUX AP,AGENCE POSTALE,LA PLACE,LA VILLE,0,05350,ARVIEUX,05007,FRANCE
BARATIER AP,AGENCE POSTALE,PLACE DU VILLAGE,,0,05200,BARATIER,05012,FRANCE
LA BATIE NEUVE BP,BUREAU DE POSTE,QUARTIER PARQUET,,0,05230,LA BATIE NEUVE,05017,FRANCE
CEILLAC AP,AGENCE POSTALE,PLACE PHILIPPE LAMOUR,,0,05600,CEILLAC,05026,FRANCE
CHATEAUROUX LES ALPES BP,BUREAU DE POSTE,LES AUBERGERIES,,0,05380,CHATEAUROUX LES ALPES,05036,FRANCE
CHATEAU VILLE VIEILLE BP,BUREAU DE POSTE,593 ROUTE DU QUEYRAS,QUARTIER LA RIBE,0,05350,CHATEAU VILLE VIEILLE,05038,FRANCE
CHORGES BP,BUREAU DE POSTE,19 ROUTE DU FEIN,,0,05230,CHORGES,05040,FRANCE
CROTS AP,AGENCE POSTALE,PLACE DES BALLERINS,,0,05200,CROTS,05045,FRANCE
EMBRUN,BUREAU CENTRE,BP 85,,0,05208,EMBRUN CEDEX,05046,FRANCE
GUILLESTRE BP,BUREAU DE POSTE,HLM CHAMP DE FOIRE,,0,05600,GUILLESTRE,05065,FRANCE
RISOUL 1850 AP,AGENCE POSTALE,RISOUL STATION,BATIMENT ACCUEIL OFFICE DE TOURISME,0,05600,RISOUL,05119,FRANCE
MOLINES EN QUEYRAS AP,AGENCE POSTALE,235 RUE DU SERRE,,0,05350,MOLINES EN QUEYRAS,05077,FRANCE
LES ORRES AP,AGENCE POSTALE,2 RUE DESSUS VIERE,LE CHEF LIEU,0,05200,LES ORRES,05098,FRANCE
ST ANDRE D EMBRUN AP,AGENCE POSTALE,BOULEVARD PASTEUR,,HAMEAU DE L EGLISE,05200,ST ANDRE D EMBRUN,05128,FRANCE
SAINT CLEMENT AP,AGENCE POSTALE,426 ROUTE DU PLI COUCHE,,0,05600,ST CLEMENT SUR DURANCE,05134,FRANCE
SAINT CREPIN AP,AGENCE POSTALE,60 RUE DU TOUR DE VILLE,,0,05600,ST CREPIN,05136,FRANCE
SAINT VERAN AP,AGENCE POSTALE,8 RUE DE LA POSTE,agence postale,0,05350,ST VERAN,05157,FRANCE
SAVINES LE LAC AP,AGENCE POSTALE,RUE DE LA COMBETTE,pole culturel Le XX eme,0,05160,SAVINES LE LAC,05164,FRANCE
