,id,nom_serie,numero_episode,numero_saison,date_diffusion,pays,chaine_diffusion,url
52,53,Assisted Living,21,4,04-10-2023,Etats-Unis,BET,episode21-410622-04102023-saison4-Assisted-Living.html
53,54,Assisted Living,22,4,04-10-2023,Etats-Unis,BET,episode22-410623-04102023-saison4-Assisted-Living.html
54,55,Bones of Crows,3,1,04-10-2023,Canada,CBC,episode03-410642-04102023-saison1-Bones-of-Crows.html
55,56,Children Ruin Everything,2,3,04-10-2023,Canada,CTV,episode02-410794-04102023-saison3-Children-Ruin-Everything.html
56,57,Chucky,1,3,04-10-2023,Etats-Unis,Syfy,episode01-409037-04102023-saison3-Chucky.html
57,58,Demain nous appartient,33,7,04-10-2023,France,TF1,episode33-410922-04102023-saison7-Demain-nous-appartient.html
58,59,Hans River Police,7,1,04-10-2023,Etats-Unis,Disney+,episode07-409972-04102023-saison1-Hans-River-Police.html
59,60,Hans River Police,8,1,04-10-2023,Etats-Unis,Disney+,episode08-409973-04102023-saison1-Hans-River-Police.html
60,61,Hudson & Rex,1,6,04-10-2023,Canada,Citytv,episode01-410258-04102023-saison6-Hudson--Rex.html
61,62,Ici tout commence,28,4,04-10-2023,France,TF1,episode28-410917-04102023-saison4-Ici-tout-commence.html
62,63,Invasion (2021),7,2,04-10-2023,Etats-Unis,Apple TV+,episode07-407971-04102023-saison2-Invasion-(2021).html
63,64,Magnum P.I. (2018),11,5,04-10-2023,Etats-Unis,NBC,episode11-409152-04102023-saison5-Magnum-PI-(2018).html
64,65,Quantum Leap (2022),1,2,04-10-2023,Etats-Unis,NBC,episode01-408633-04102023-saison2-Quantum-Leap-(2022).html
65,66,RFDS,8,2,04-10-2023,Australie,Seven,episode08-410739-04102023-saison2-RFDS.html
66,67,Robyn Hood,2,1,04-10-2023,Canada,Global,episode02-410949-04102023-saison1-Robyn-Hood.html
67,68,SurrealEstate,1,2,04-10-2023,Etats-Unis,Syfy,episode01-409249-04102023-saison2-SurrealEstate.html
68,69,The Morning Show,5,3,04-10-2023,Etats-Unis,Apple TV+,episode05-407700-04102023-saison3-The-Morning-Show.html
69,70,The Worst of Evil,4,1,04-10-2023,Etats-Unis,Disney+,episode04-410766-04102023-saison1-The-Worst-of-Evil.html
70,71,The Worst of Evil,5,1,04-10-2023,Etats-Unis,Disney+,episode05-410767-04102023-saison1-The-Worst-of-Evil.html
71,72,Un Si Grand Soleil,25,6,04-10-2023,France,France 2,episode25-410927-04102023-saison6-Un-Si-Grand-Soleil.html
72,73,Young Dylan,5,4,04-10-2023,Etats-Unis,Nickelodeon,episode05-410578-04102023-saison4-Young-Dylan.html
73,74,All Creatures Great and Small (2020),1,4,05-10-2023,Royaume-Uni,Channel 5,episode01-410607-05102023-saison4-All-Creatures-Great-and-Small-(2020).html
74,75,À La Carte,4,2,05-10-2023,Etats-Unis,ALLBLK,episode04-410517-05102023-saison2-A-La-Carte.html
75,76,Demain nous appartient,34,7,05-10-2023,France,TF1,episode34-410923-05102023-saison7-Demain-nous-appartient.html
76,77,Everything Now,1,1,05-10-2023,Etats-Unis,Netflix,episode01-410218-05102023-saison1-Everything-Now.html
77,78,Everything Now,2,1,05-10-2023,Etats-Unis,Netflix,episode02-410890-05102023-saison1-Everything-Now.html
78,79,Everything Now,3,1,05-10-2023,Etats-Unis,Netflix,episode03-410891-05102023-saison1-Everything-Now.html
79,80,Everything Now,4,1,05-10-2023,Etats-Unis,Netflix,episode04-410892-05102023-saison1-Everything-Now.html
80,81,Everything Now,5,1,05-10-2023,Etats-Unis,Netflix,episode05-410893-05102023-saison1-Everything-Now.html
81,82,Everything Now,6,1,05-10-2023,Etats-Unis,Netflix,episode06-410894-05102023-saison1-Everything-Now.html
82,83,Everything Now,7,1,05-10-2023,Etats-Unis,Netflix,episode07-410895-05102023-saison1-Everything-Now.html
83,84,Everything Now,8,1,05-10-2023,Etats-Unis,Netflix,episode08-410896-05102023-saison1-Everything-Now.html
84,85,Ici tout commence,29,4,05-10-2023,France,TF1,episode29-410918-05102023-saison4-Ici-tout-commence.html
85,86,Les révoltés,5,1,05-10-2023,Canada,Club illico ,episode05-411201-05102023-saison1-Les-revoltes.html
86,87,Les révoltés,6,1,05-10-2023,Canada,Club illico ,episode06-411202-05102023-saison1-Les-revoltes.html
87,88,Loki,1,2,05-10-2023,Etats-Unis,Disney+,episode01-410901-05102023-saison2-Loki.html
88,89,Lupin,1,3,05-10-2023,Etats-Unis,Netflix,episode01-404379-05102023-saison3-Lupin.html
89,90,Lupin,2,3,05-10-2023,Etats-Unis,Netflix,episode02-404380-05102023-saison3-Lupin.html
90,91,Lupin,3,3,05-10-2023,Etats-Unis,Netflix,episode03-404381-05102023-saison3-Lupin.html
91,92,Lupin,4,3,05-10-2023,Etats-Unis,Netflix,episode04-404382-05102023-saison3-Lupin.html
92,93,Lupin,5,3,05-10-2023,Etats-Unis,Netflix,episode05-404383-05102023-saison3-Lupin.html
93,94,Lupin,6,3,05-10-2023,Etats-Unis,Netflix,episode06-404384-05102023-saison3-Lupin.html
94,95,Lupin,7,3,05-10-2023,Etats-Unis,Netflix,episode07-404385-05102023-saison3-Lupin.html
95,96,Our Flag Means Death,1,2,05-10-2023,Etats-Unis,HBO Max,episode01-409662-05102023-saison2-Our-Flag-Means-Death.html
96,97,Our Flag Means Death,2,2,05-10-2023,Etats-Unis,HBO Max,episode02-409663-05102023-saison2-Our-Flag-Means-Death.html
97,98,Our Flag Means Death,3,2,05-10-2023,Etats-Unis,HBO Max,episode03-409664-05102023-saison2-Our-Flag-Means-Death.html
98,99,Rictus,7,1,05-10-2023,France,OCS,episode07-409050-05102023-saison1-Rictus.html
99,100,Rictus,8,1,05-10-2023,France,OCS,episode08-409051-05102023-saison1-Rictus.html
100,101,Rictus,9,1,05-10-2023,France,OCS,episode09-409052-05102023-saison1-Rictus.html
101,102,Sous contrôle,1,1,05-10-2023,France,Arte,episode01-408741-05102023-saison1-Sous-controle.html
102,103,Sous contrôle,2,1,05-10-2023,France,Arte,episode02-411048-05102023-saison1-Sous-controle.html
103,104,Sous contrôle,3,1,05-10-2023,France,Arte,episode03-411049-05102023-saison1-Sous-controle.html
104,105,Sous contrôle,4,1,05-10-2023,France,Arte,episode04-411050-05102023-saison1-Sous-controle.html
105,106,Sous contrôle,5,1,05-10-2023,France,Arte,episode05-411051-05102023-saison1-Sous-controle.html
106,107,Sous contrôle,6,1,05-10-2023,France,Arte,episode06-411052-05102023-saison1-Sous-controle.html
107,108,Star Trek: Lower Decks,6,4,05-10-2023,Etats-Unis,Paramount+,episode06-409760-05102023-saison4-Star-Trek-Lower-Decks.html
108,109,Tacoma FD,12,4,05-10-2023,Etats-Unis,truTV,episode12-410643-05102023-saison4-Tacoma-FD.html
109,110,Tacoma FD,13,4,05-10-2023,Etats-Unis,truTV,episode13-410644-05102023-saison4-Tacoma-FD.html
110,111,Young Love,9,1,05-10-2023,Etats-Unis,HBO Max,episode09-410862-05102023-saison1-Young-Love.html
111,112,Young Love,10,1,05-10-2023,Etats-Unis,HBO Max,episode10-410863-05102023-saison1-Young-Love.html
112,113,Young Love,11,1,05-10-2023,Etats-Unis,HBO Max,episode11-410864-05102023-saison1-Young-Love.html
113,114,Young Love,12,1,05-10-2023,Etats-Unis,HBO Max,episode12-410865-05102023-saison1-Young-Love.html
114,115,Billions,9,7,06-10-2023,Etats-Unis,Showtime,episode09-409168-06102023-saison7-Billions.html
115,116,Demain nous appartient,35,7,06-10-2023,France,TF1,episode35-410924-06102023-saison7-Demain-nous-appartient.html
116,117,Familjen Andersson,8,1,06-10-2023,Suède,SVT Play,episode08-409539-06102023-saison1-Familjen-Andersson.html
117,118,Gaslight,4,1,06-10-2023,Suède,SVT Play,episode04-410680-06102023-saison1-Gaslight.html
118,119,Gaslight,5,1,06-10-2023,Suède,SVT Play,episode05-410681-06102023-saison1-Gaslight.html
119,120,Gaslight,6,1,06-10-2023,Suède,SVT Play,episode06-410682-06102023-saison1-Gaslight.html
120,121,Gen V,4,1,06-10-2023,Etats-Unis,Prime Video,episode04-408428-06102023-saison1-Gen-V.html
121,122,Ghosts (UK),1,5,06-10-2023,Royaume-Uni,BBC One,episode01-410534-06102023-saison5-Ghosts-(UK).html
122,123,Ghosts (UK),2,5,06-10-2023,Royaume-Uni,BBC One,episode02-410722-06102023-saison5-Ghosts-(UK).html
123,124,Ghosts (UK),3,5,06-10-2023,Royaume-Uni,BBC One,episode03-410723-06102023-saison5-Ghosts-(UK).html
124,125,Ghosts (UK),4,5,06-10-2023,Royaume-Uni,BBC One,episode04-410724-06102023-saison5-Ghosts-(UK).html
125,126,Ghosts (UK),5,5,06-10-2023,Royaume-Uni,BBC One,episode05-410725-06102023-saison5-Ghosts-(UK).html
126,127,Ghosts (UK),6,5,06-10-2023,Royaume-Uni,BBC One,episode06-410726-06102023-saison5-Ghosts-(UK).html
127,128,Huset,6,1,06-10-2023,Danemark,DR1,episode06-410716-06102023-saison1-Huset.html
128,129,Ici tout commence,30,4,06-10-2023,France,TF1,episode30-410919-06102023-saison4-Ici-tout-commence.html
129,130,Last Exit Schinkenstraße,1,1,06-10-2023,Etats-Unis,Prime Video,episode01-411018-06102023-saison1-Last-Exit-Schinkenstraße.html
130,131,Last Exit Schinkenstraße,2,1,06-10-2023,Etats-Unis,Prime Video,episode02-411019-06102023-saison1-Last-Exit-Schinkenstraße.html
131,132,Last Exit Schinkenstraße,3,1,06-10-2023,Etats-Unis,Prime Video,episode03-411020-06102023-saison1-Last-Exit-Schinkenstraße.html
132,133,Last Exit Schinkenstraße,4,1,06-10-2023,Etats-Unis,Prime Video,episode04-411021-06102023-saison1-Last-Exit-Schinkenstraße.html
133,134,Last Exit Schinkenstraße,5,1,06-10-2023,Etats-Unis,Prime Video,episode05-411022-06102023-saison1-Last-Exit-Schinkenstraße.html
134,135,Last Exit Schinkenstraße,6,1,06-10-2023,Etats-Unis,Prime Video,episode06-411023-06102023-saison1-Last-Exit-Schinkenstraße.html
135,136,Power Book IV: Force,6,2,06-10-2023,Etats-Unis,Starz,episode06-410815-06102023-saison2-Power-Book-IV-Force.html
136,137,Shoresy,3,2,06-10-2023,Canada,CraveTV,episode03-410866-06102023-saison2-Shoresy.html
137,138,SOKO Leipzig,7,24,06-10-2023,Allemagne,ZDF,episode07-410561-06102023-saison24-SOKO-Leipzig.html
138,139,Solsidan,3,8,06-10-2023,Suède,TV4,episode03-410858-06102023-saison8-Solsidan.html
139,140,Still Up,5,1,06-10-2023,Etats-Unis,Apple TV+,episode05-408946-06102023-saison1-Still-Up.html
140,141,The Changeling,7,1,06-10-2023,Etats-Unis,Apple TV+,episode07-408182-06102023-saison1-The-Changeling.html
141,142,The Continental: From The World Of John Wick,3,1,06-10-2023,Etats-Unis,Peacock,episode03-408644-06102023-saison1-The-Continental-From-The-World-Of-John-Wick.html
142,143,The Wheel of Time,8,2,06-10-2023,Etats-Unis,Prime Video,episode08-408196-06102023-saison2-The-Wheel-of-Time.html
143,144,Transplant,1,4,06-10-2023,Canada,CTV,episode01-408389-06102023-saison4-Transplant.html
144,145,Un Si Grand Soleil,26,6,06-10-2023,France,France 2,episode26-410928-06102023-saison6-Un-Si-Grand-Soleil.html
145,146,All Rise,14,3,07-10-2023,Etats-Unis,OWN,episode14-410327-07102023-saison3-All-Rise.html
146,147,Arthdal Chronicles,9,2,07-10-2023,Corée du Sud,tvN,episode09-411010-07102023-saison2-Arthdal-Chronicles.html
147,148,Boomer,6,1,07-10-2023,Belgique,Één,episode06-409827-07102023-saison1-Boomer.html
148,149,Johnson,10,3,07-10-2023,Etats-Unis,Bounce TV,episode10-410645-07102023-saison3-Johnson.html
149,150,Arthdal Chronicles,10,2,08-10-2023,Corée du Sud,tvN,episode10-411011-08102023-saison2-Arthdal-Chronicles.html
150,151,Bob's Burgers,2,14,08-10-2023,Etats-Unis,Fox,episode02-410729-08102023-saison14-Bob-s-Burgers.html
151,152,Entre Tierras,5,1,08-10-2023,Espagne,ATRESplayer,episode05-410971-08102023-saison1-Entre-Tierras.html
152,153,Family Guy,2,22,08-10-2023,Etats-Unis,Fox,episode02-410730-08102023-saison22-Family-Guy.html
153,154,Heartland (CA),2,17,08-10-2023,Canada,CBC,episode02-410535-08102023-saison17-Heartland-(CA).html
154,155,Krapopolis,4,1,08-10-2023,Etats-Unis,Fox,episode04-410328-08102023-saison1-Krapopolis.html
